trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	6	8
27	0.5	4	0	+	5.0	2.5	0.9	7	8
4	0.5	4	0	+	2.0	1.0	0.75	8	8
15	0.5	4	0	+	3.5	1.75	0.3	9	8
44	0.5	4	0	+	7.0	3.5	0.3	10	8
45	0.5	4	0	-	7.5	3.75	0.75	11	8
39	0.5	4	0	+	6.5	3.25	0.75	12	8
17	0.5	4	0	-	4.0	2.0	0.6	13	8
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	14	8
47	0.5	4	0	+	7.5	3.75	0.9	15	8
32	0.5	4	0	+	5.5	2.75	0.6	16	8
5	0.5	4	0	-	2.5	1.25	0.9	17	8
30	0.5	4	0	-	5.5	2.75	0.9	18	8
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	19	8
36	0.5	4	0	+	6.0	3.0	0.9	20	8
23	0.5	4	0	+	4.5	2.25	0.6	21	8
21	0.5	4	0	-	4.5	2.25	0.6	22	8
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	23	8
10	0.5	4	0	-	3.0	1.5	0.9	24	8
31	0.5	4	0	+	5.5	2.75	0.75	25	8
55	0.5	4	0	+	8.5	4.25	0.9	26	8
